"nomor_rencana_produksi";"id_user";"keterangan";"tanggal_rencana";"tanggal_input";"status";"created_at";"created_by";"updated_at";"updated_by"
"WOS2202-0002";"3";NULL;"2022-02-04";"2022-02-03";"1";"2022-02-03 13:03:25";"3";"2022-02-03 13:03:25";"3"
"WOS2202-0003";"3";NULL;"2022-02-05";"2022-02-04";"1";"2022-02-04 13:19:26";"3";"2022-02-04 13:19:26";"3"
"WOS2202-0004";"3";NULL;"2022-02-07";"2022-02-07";"1";"2022-02-07 09:02:59";"3";"2022-02-07 09:02:59";"3"
"WOS2202-0005";"3";NULL;"2022-02-08";"2022-02-07";"1";"2022-02-07 10:46:10";"3";"2022-02-07 10:46:10";"3"
"WOS2202-0006";"3";NULL;"2022-02-09";"2022-02-08";"1";"2022-02-08 11:12:09";"3";"2022-02-08 11:12:09";"3"
"WOS2202-0007";"3";NULL;"2022-02-10";"2022-02-09";"1";"2022-02-09 11:19:52";"3";"2022-02-09 11:19:52";"3"
"WOS2202-0008";"3";NULL;"2022-02-11";"2022-02-10";"1";"2022-02-10 10:23:58";"3";"2022-02-10 10:23:58";"3"
"WOS2202-0009";"3";NULL;"2022-02-12";"2022-02-11";"1";"2022-02-11 10:57:24";"3";"2022-02-11 10:57:24";"3"
"WOS2202-0010";"3";NULL;"2022-02-14";"2022-02-12";"1";"2022-02-12 10:40:47";"3";"2022-02-12 10:40:47";"3"
"WOS2202-0011";"3";NULL;"2022-02-15";"2022-02-14";"1";"2022-02-14 10:19:04";"3";"2022-02-14 10:19:04";"3"
"WOS2202-0012";"3";NULL;"2022-02-16";"2022-02-15";"1";"2022-02-15 15:05:08";"3";"2022-02-15 15:05:08";"3"
"WOS2202-0013";"3";NULL;"2022-02-17";"2022-02-16";"1";"2022-02-16 11:37:56";"3";"2022-02-16 11:37:56";"3"
"WOS2202-0014";"3";NULL;"2022-02-18";"2022-02-17";"1";"2022-02-17 13:40:26";"3";"2022-02-17 13:40:26";"3"
"WOS2202-0015";"3";NULL;"2022-02-19";"2022-02-19";"1";"2022-02-19 08:45:08";"3";"2022-02-19 08:45:08";"3"
"WOS2202-0016";"3";NULL;"2022-02-21";"2022-02-19";"1";"2022-02-19 10:12:07";"3";"2022-02-19 10:12:07";"3"
"WOS2202-0017";"3";NULL;"2022-02-22";"2022-02-21";"1";"2022-02-21 11:10:04";"3";"2022-02-21 11:10:04";"3"
"WOS2202-0018";"3";NULL;"2022-02-23";"2022-02-22";"1";"2022-02-22 16:18:07";"3";"2022-02-22 16:18:07";"3"
"WOS2202-0019";"3";NULL;"2022-02-24";"2022-02-24";"1";"2022-02-24 08:19:16";"3";"2022-02-24 08:19:16";"3"
"WOS2202-0020";"3";NULL;"2022-02-25";"2022-02-24";"1";"2022-02-24 10:28:13";"3";"2022-02-24 10:28:13";"3"
"WOS2202-0021";"3";NULL;"2022-02-26";"2022-02-25";"1";"2022-02-25 09:31:12";"3";"2022-02-25 09:31:44";"3"
"WOS2202-0022";"3";NULL;"2022-03-01";"2022-02-26";"1";"2022-02-26 09:51:09";"3";"2022-02-26 09:51:09";"3"
"WOS2203-0001";"3";NULL;"2022-03-02";"2022-03-01";"1";"2022-03-01 10:45:25";"3";"2022-03-01 10:45:25";"3"
"WOS2203-0002";"3";NULL;"2022-03-04";"2022-03-02";"1";"2022-03-02 09:57:06";"3";"2022-03-02 09:57:06";"3"
"WOS2203-0003";"3";NULL;"2022-03-05";"2022-03-04";"1";"2022-03-04 10:14:50";"3";"2022-03-04 10:14:50";"3"
"WOS2203-0004";"3";NULL;"2022-03-07";"2022-03-05";"1";"2022-03-05 10:29:49";"3";"2022-03-05 10:29:49";"3"
"WOS2203-0005";"3";NULL;"2022-03-08";"2022-03-07";"1";"2022-03-07 10:37:31";"3";"2022-03-07 10:37:31";"3"
"WOS2203-0006";"3";NULL;"2022-03-09";"2022-03-08";"1";"2022-03-08 10:10:38";"3";"2022-03-08 10:10:38";"3"
"WOS2203-0007";"3";NULL;"2022-03-10";"2022-03-09";"1";"2022-03-09 09:50:13";"3";"2022-03-09 09:50:13";"3"
"WOS2203-0008";"3";NULL;"2022-03-11";"2022-03-11";"1";"2022-03-11 08:10:50";"3";"2022-03-11 08:10:50";"3"
"WOS2203-0009";"3";NULL;"2022-03-12";"2022-03-11";"1";"2022-03-11 13:23:36";"3";"2022-03-11 13:23:36";"3"
"WOS2203-0010";"3";NULL;"2022-03-14";"2022-03-12";"1";"2022-03-12 10:06:31";"3";"2022-03-12 10:06:31";"3"
"WOS2203-0011";"3";NULL;"2022-03-15";"2022-03-14";"1";"2022-03-14 11:19:32";"3";"2022-03-14 11:19:32";"3"
"WOS2203-0012";"3";NULL;"2022-03-16";"2022-03-16";"1";"2022-03-16 08:22:12";"3";"2022-03-16 08:22:12";"3"
"WOS2203-0013";"3";NULL;"2022-03-17";"2022-03-16";"1";"2022-03-16 10:46:05";"3";"2022-03-16 10:46:05";"3"
"WOS2203-0014";"3";NULL;"2022-03-18";"2022-03-17";"1";"2022-03-17 10:46:01";"3";"2022-03-17 10:46:01";"3"
"WOS2203-0015";"3";NULL;"2022-03-19";"2022-03-18";"1";"2022-03-18 11:17:08";"3";"2022-03-18 11:17:08";"3"
"WOS2203-0016";"3";NULL;"2022-03-21";"2022-03-19";"1";"2022-03-19 10:09:45";"3";"2022-03-19 10:10:07";"3"
"WOS2203-0017";"3";NULL;"2022-03-22";"2022-03-21";"1";"2022-03-21 13:18:01";"3";"2022-03-21 13:18:01";"3"
"WOS2203-0018";"3";NULL;"2022-03-23";"2022-03-22";"1";"2022-03-22 10:42:13";"3";"2022-03-22 10:42:13";"3"
"WOS2203-0019";"3";NULL;"2022-03-24";"2022-03-23";"1";"2022-03-23 10:06:58";"3";"2022-03-23 10:06:58";"3"
"WOS2203-0020";"3";NULL;"2022-03-25";"2022-03-24";"1";"2022-03-24 10:54:25";"3";"2022-03-24 10:54:25";"3"
"WOS2203-0021";"3";NULL;"2022-03-26";"2022-03-25";"1";"2022-03-25 10:32:13";"3";"2022-03-25 10:32:13";"3"
"WOS2203-0022";"3";NULL;"2022-03-28";"2022-03-26";"1";"2022-03-26 10:28:58";"3";"2022-03-26 10:28:58";"3"
"WOS2203-0023";"3";NULL;"2022-03-29";"2022-03-28";"1";"2022-03-28 10:38:56";"3";"2022-03-28 10:38:56";"3"
"WOS2203-0024";"3";NULL;"2022-03-30";"2022-03-29";"1";"2022-03-29 13:35:56";"3";"2022-03-29 13:35:56";"3"
"WOS2203-0025";"3";NULL;"2022-03-31";"2022-03-31";"1";"2022-03-31 08:35:10";"3";"2022-03-31 08:35:10";"3"
"WOS2203-0026";"3";NULL;"2022-04-01";"2022-03-31";"1";"2022-03-31 10:42:33";"3";"2022-03-31 10:42:33";"3"
"WOS2204-0001";"3";NULL;"2022-04-02";"2022-04-01";"1";"2022-04-01 13:13:17";"3";"2022-04-01 13:13:17";"3"
"WOS2204-0002";"3";NULL;"2022-04-04";"2022-04-02";"1";"2022-04-02 13:40:53";"3";"2022-04-02 13:40:53";"3"
"WOS2204-0003";"3";NULL;"2022-04-05";"2022-04-05";"1";"2022-04-05 07:36:07";"3";"2022-04-05 07:36:07";"3"
"WOS2204-0004";"3";NULL;"2022-04-06";"2022-04-05";"1";"2022-04-05 10:18:34";"3";"2022-04-05 10:18:34";"3"
"WOS2204-0005";"3";NULL;"2022-04-08";"2022-04-07";"1";"2022-04-07 15:16:35";"3";"2022-04-08 14:50:07";"3"
"WOS2204-0006";"3";NULL;"2022-04-09";"2022-04-08";"1";"2022-04-08 14:48:59";"3";"2022-04-09 11:28:38";"3"
