"nomor_laporan_produksi_lab";"nomor_laporan_produksi";"jam_waktu";"mesin";"rpm";"mesh";"std_ssa";"ssa";"std_d50";"d50";"std_d98";"d98";"cie86";"iso2470";"moisture";"residue"
"LHPL2112-000182";"LHP2112-0022";"08:00:00";"1";"400";"800";"8000";"11721";"2.5";"1.17";"40";"23.04";"81";"90.7";"0.279";"0.019"
"LHPL2112-000183";"LHP2112-0022";"08:00:00";"2";"400";"1200";"11500";"10056";"1.7";"1.64";"30";"24.92";"78.4";"88.4";"0.216";"0.048"
"LHPL2112-000184";"LHP2112-0022";"08:00:00";"3";"450";"1200";"11500";"11158";"1.7";"1.26";"30";"26.05";"79.3";"89.3";"0.199";"0.021"
"LHPL2112-000185";"LHP2112-0022";"08:00:00";"4";"500";"800";"8000";"6512";"2.5";"4.7";"40";"48.12";"69.3";"82.7";"0.591";"0.083"
"LHPL2112-000186";"LHP2112-0022";"08:00:00";"5";"345";"800";"8000";"6755";"2.5";"10.45";"40";"52.19";"78.1";"88.4";"0.157";"0.072"
"LHPL2112-000187";"LHP2112-0022";"08:00:00";"7";"390";"500";"7000";"6358";"7";"5.92";"60";"43.56";"65";"83.1";"0.681";"0.093"
"LHPL2112-000188";"LHP2112-0022";"08:00:00";"8";"380";"500";"7000";"7025";"7";"5.41";"60";"43.38";"65.1";"83.1";"0.496";"0.052"
"LHPL2112-000189";"LHP2112-0022";"08:00:00";"9";"400";"500";"7000";"7779";"7";"4.49";"60";"39.57";"66.4";"83.6";"0.243";"0.008"
"LHPL2112-000190";"LHP2112-0024";"13:00:00";"1";"400";"800";"8000";"11721";"2.5";"1.17";"40";"23.04";"78.9";"90.6";"0.27";"0.006"
"LHPL2112-000191";"LHP2112-0024";"13:00:00";"2";"400";"1200";"11500";"10056";"1.7";"1.64";"30";"24.92";"73.8";"87.3";"0.19";"0.034"
"LHPL2112-000192";"LHP2112-0024";"13:00:00";"3";"450";"2000";"13500";"11312";"1.4";"1.58";"23";"22.61";"73.7";"88.8";"0.201";"0.031"
"LHPL2112-000193";"LHP2112-0024";"13:00:00";"4";"500";"800";"8000";"6512";"2.5";"4.7";"40";"48.12";"72.6";"85.2";"0.341";"0.01"
"LHPL2112-000194";"LHP2112-0024";"13:00:00";"5";"345";"800";"8000";"6755";"2.5";"10.45";"40";"52.19";"72.4";"86.8";"0.159";"0.031"
"LHPL2112-000195";"LHP2112-0024";"13:00:00";"7";"390";"500";"7000";"6358";"7";"5.92";"60";"43.56";"72.9";"86.4";"0.367";"0.005"
"LHPL2112-000196";"LHP2112-0024";"13:00:00";"8";"380";"800";"8000";"7470";"2.5";"4.65";"40";"42.33";"76.2";"86.8";"0.273";"0.066"
"LHPL2112-000197";"LHP2112-0024";"13:00:00";"9";"400";"800";"8000";"8168";"2.5";"4.51";"40";"39.24";"68.4";"83.8";"0.235";"0.005"
"LHPL2112-000198";"LHP2112-0025";"08:00:00";"1";"400";"800";"8000";"11486";"2.5";"1.74";"40";"23.11";"82.5";"91.7";"0.244";"0.014"
"LHPL2112-000199";"LHP2112-0025";"08:00:00";"2";"400";"1200";"11500";"10022";"1.7";"1.83";"30";"25.4";"80.2";"89.3";"0.226";"0.029"
"LHPL2112-000200";"LHP2112-0025";"08:00:00";"3";"450";"2000";"13500";"10808";"1.4";"1.84";"23";"26.71";"83.1";"90.1";"0.256";"0.073"
"LHPL2112-000201";"LHP2112-0025";"08:00:00";"4";"500";"800";"8000";"7113";"2.5";"5.25";"40";"43.5";"79.3";"86.1";"0.397";"0.093"
"LHPL2112-000202";"LHP2112-0025";"08:00:00";"5";"345";"800";"8000";"6355";"2.5";"9.29";"40";"54.47";"77.9";"88.5";"0.127";"0.249"
"LHPL2112-000203";"LHP2112-0025";"08:00:00";"7";"390";"800";"8000";"6864";"2.5";"5.65";"40";"43.9";"76.4";"88";"0.391";"0.044"
"LHPL2112-000204";"LHP2112-0025";"08:00:00";"8";"380";"800";"8000";"7285";"2.5";"4.78";"40";"41.47";"74.2";"85.6";"0.252";"0.044"
"LHPL2112-000205";"LHP2112-0025";"08:00:00";"9";"400";"800";"8000";"7650";"2.5";"5.29";"40";"39.94";"75.4";"86.1";"0.191";"0.093"
"LHPL2112-000206";"LHP2112-0026";"13:00:00";"1";"400";"800";"8000";"11486";"2.5";"1.74";"40";"23.11";"82.4";"91.6";"0.121";"0.017"
"LHPL2112-000207";"LHP2112-0026";"13:00:00";"2";"400";"1200";"11500";"10022";"1.7";"1.83";"30";"25.4";"78";"88.2";"0.164";"0.037"
"LHPL2112-000208";"LHP2112-0026";"13:00:00";"3";"450";"1200";"11500";"10853";"1.7";"1.63";"30";"24.46";"78";"88.3";"0.178";"0.03"
"LHPL2112-000209";"LHP2112-0026";"13:00:00";"4";"500";"800";"8000";"7113";"2.5";"5.25";"40";"43.5";"70.2";"84.5";"0.964";"0.009"
"LHPL2112-000210";"LHP2112-0026";"13:00:00";"5";"345";"800";"8000";"6355";"2.5";"9.29";"40";"54.47";"75.4";"86.1";"0.177";"0.01"
"LHPL2112-000211";"LHP2112-0026";"13:00:00";"7";"390";"800";"8000";"6864";"2.5";"5.65";"40";"43.9";"72.9";"86";"0.437";"0.011"
"LHPL2112-000212";"LHP2112-0026";"13:00:00";"8";"380";"500";"7000";"6319";"7";"6.52";"60";"43.02";"70.6";"83.8";"0.571";"0.01"
"LHPL2112-000213";"LHP2112-0026";"13:00:00";"9";"400";"500";"7000";"7025";"7";"5.94";"60";"38.49";"70.3";"85.2";"0.167";"0.14"
"LHPL2112-000214";"LHP2112-0027";"08:00:00";"1";"400";"800";"8000";"11356";"2.5";"1.82";"40";"26.67";"79.7";"91.8";"0.304";"0.007"
"LHPL2112-000215";"LHP2112-0027";"08:00:00";"2";"400";"1200";"11500";"9885";"1.7";"1.99";"30";"24.14";"67";"84.8";"0.24";"0.032"
"LHPL2112-000216";"LHP2112-0027";"08:00:00";"3";"450";"1200";"11500";"11497";"1.7";"1.58";"30";"27.74";"77.2";"89.6";"0.251";"0.059"
"LHPL2112-000217";"LHP2112-0027";"08:00:00";"4";"500";"800";"8000";"6828";"2.5";"5.69";"40";"46.82";"67";"85.7";"0.38";"0.072"
"LHPL2112-000218";"LHP2112-0027";"08:00:00";"5";"345";"800";"8000";"6718";"2.5";"8.86";"40";"53.3";"72.2";"89";"0.139";"0.364"
"LHPL2112-000219";"LHP2112-0027";"08:00:00";"6";"325";"325";"5500";"7268";"8.5";"5.02";"75";"34.49";"70.3";"85.9";"0.156";"0.007"
"LHPL2112-000220";"LHP2112-0027";"08:00:00";"7";"390";"800";"8000";"6607";"2.5";"5.46";"40";"44.64";"74.3";"85.6";"1.404";"0.099"
"LHPL2112-000221";"LHP2112-0027";"08:00:00";"8";"380";"800";"8000";"5545";"2.5";"5.55";"40";"49.02";"71.7";"84.7";"1.965";"0.409"
"LHPL2112-000222";"LHP2112-0028";"13:00:00";"1";"400";"2000";"13500";"10374";"1.4";"1.92";"23";"23.95";"79.9";"90.8";"0.259";"0.022"
"LHPL2112-000223";"LHP2112-0028";"13:00:00";"2";"400";"1200";"11500";"9885";"1.7";"1.99";"30";"24.14";"76.9";"86.5";"0.198";"0.022"
"LHPL2112-000224";"LHP2112-0028";"13:00:00";"3";"450";"2000";"13500";"11432";"1.4";"1.67";"23";"24.5";"77.6";"90";"0.187";"0.01"
"LHPL2112-000225";"LHP2112-0028";"13:00:00";"4";"500";"800";"8000";"6828";"2.5";"5.69";"40";"46.82";"77.6";"88.4";"0.38";"0.007"
"LHPL2112-000226";"LHP2112-0028";"13:00:00";"5";"345";"800";"8000";"6718";"2.5";"8.86";"40";"53.3";"77.7";"90";"0.13";"0.04"
"LHPL2112-000227";"LHP2112-0028";"13:00:00";"6";"325";"325";"5500";"7268";"8.5";"5.02";"75";"34.49";"75.5";"86.1";"0.132";"0.005"
"LHPL2112-000228";"LHP2112-0028";"13:00:00";"7";"390";"800";"8000";"6607";"2.5";"5.46";"40";"44.64";"73";"83.6";"0.769";"0.042"
"LHPL2112-000229";"LHP2112-0028";"13:00:00";"8";"380";"500";"7000";"6882";"7";"6.21";"60";"43.99";"76.6";"85.3";"0.733";"0.081"
"LHPL2112-000230";"LHP2112-0029";"08:00:00";"1";"400";"6000";"14000";"10374";"1.2";"1.84";"21";"23.92";"81.8";"91.4";"0.319";"0.014"
"LHPL2112-000231";"LHP2112-0029";"08:00:00";"2";"400";"800";"8000";"8964";"2.5";"1.7";"40";"24.92";"78.4";"88.4";"0.392";"0.025"
"LHPL2112-000232";"LHP2112-0029";"08:00:00";"3";"450";"2000";"13500";"10362";"1.4";"1.83";"23";"28.53";"75.9";"88.7";"0.335";"0.107"
"LHPL2112-000233";"LHP2112-0029";"08:00:00";"4";"500";"800";"8000";"6397";"2.5";"6.02";"40";"44.48";"77.2";"86.5";"0.711";"0.026"
"LHPL2112-000234";"LHP2112-0029";"08:00:00";"5";"345";"800";"8000";"6455";"2.5";"9.11";"40";"54.68";"74.3";"88.3";"0.219";"0.163"
"LHPL2112-000235";"LHP2112-0029";"08:00:00";"7";"390";"500";"7000";"6512";"7";"5.03";"60";"43.8";"76.8";"87.9";"0.664";"0.049"
"LHPL2112-000236";"LHP2112-0029";"08:00:00";"8";"380";"500";"7000";"6140";"7";"6.49";"60";"46.25";"68.1";"83.7";"1.289";"0.14"
"LHPL2112-000237";"LHP2112-0030";"13:00:00";"1";"400";"800";"8000";"12608";"2.5";"1.57";"40";"19.79";"82.5";"91.6";"0.208";"0.009"
"LHPL2112-000238";"LHP2112-0030";"13:00:00";"2";"400";"800";"8000";"8964";"2.5";"1.7";"40";"24.92";"74.8";"89.1";"0.189";"0.005"
"LHPL2112-000239";"LHP2112-0030";"13:00:00";"3";"450";"1200";"11500";"11540";"1.7";"1.57";"30";"25.31";"80.1";"92.5";"0.19";"0.008"
"LHPL2112-000240";"LHP2112-0030";"13:00:00";"4";"500";"800";"8000";"6397";"2.5";"6.02";"40";"44.48";"73.9";"85.6";"0.179";"0.008"
"LHPL2112-000241";"LHP2112-0030";"13:00:00";"5";"345";"800";"8000";"6455";"2.5";"9.11";"40";"54.68";"80.3";"90.8";"0.118";"0.158"
"LHPL2112-000242";"LHP2112-0030";"13:00:00";"7";"250";"250";"2500";"4879";"9";"9.13";"125";"90.72";"67.6";"82.3";"1.367";"13.244"
"LHPL2112-000243";"LHP2112-0030";"13:00:00";"8";"380";"500";"7000";"6140";"7";"6.49";"60";"46.25";"75.8";"84.5";"0.34";"0.021"
"LHPL2112-000244";"LHP2112-0030";"13:00:00";"9";"400";"500";"7000";"8754";"7";"3.02";"60";"34.9";"75.5";"86";"0.242";"0.005"
"LHPL2112-000245";"LHP2112-0031";"08:00:00";"1";"400";"800";"8000";"11012";"2.5";"1.82";"40";"24.27";"81.3";"91";"0.275";"0.018"
"LHPL2112-000246";"LHP2112-0031";"08:00:00";"2";"400";"1200";"11500";"9695";"1.7";"1.66";"30";"24.64";"81.4";"89.6";"0.293";"0.025"
"LHPL2112-000247";"LHP2112-0031";"08:00:00";"3";"450";"800";"8000";"11910";"2.5";"1.68";"40";"24.81";"80.4";"90.8";"0.344";"0.064"
"LHPL2112-000248";"LHP2112-0031";"08:00:00";"4";"500";"800";"8000";"6588";"2.5";"5.83";"40";"47.5";"74.4";"85.6";"0.873";"0.15"
"LHPL2112-000249";"LHP2112-0031";"08:00:00";"5";"345";"800";"8000";"6377";"2.5";"8.35";"40";"56.66";"79.4";"88.8";"0.284";"0.763"
"LHPL2112-000250";"LHP2112-0031";"08:00:00";"7";"390";"500";"7000";"6260";"7";"5.69";"60";"50.4";"71.7";"84.8";"1.076";"0.29"
"LHPL2112-000251";"LHP2112-0031";"08:00:00";"8";"380";"800";"8000";"5850";"2.5";"5.69";"40";"48.85";"64.9";"84.7";"1.111";"0.167"
"LHPL2112-000252";"LHP2112-0031";"08:00:00";"9";"400";"800";"8000";"7795";"2.5";"4.31";"40";"39.42";"70.2";"86.7";"0.465";"0.027"
"LHPL2112-000253";"LHP2112-0032";"13:00:00";"1";"400";"800";"8000";"11012";"2.5";"1.82";"40";"24.27";"82.8";"90";"0.211";"0.005"
"LHPL2112-000254";"LHP2112-0032";"13:00:00";"2";"400";"1200";"11500";"9695";"1.7";"1.66";"30";"24.64";"81.3";"89.6";"0.194";"0.008"
"LHPL2112-000255";"LHP2112-0032";"13:00:00";"3";"450";"2000";"13500";"11658";"1.4";"1.57";"23";"26.11";"80.1";"90.7";"0.227";"0.022"
"LHPL2112-000256";"LHP2112-0032";"13:00:00";"4";"500";"800";"8000";"6588";"2.5";"5.83";"40";"47.5";"70.8";"85.7";"1.483";"0.065"
"LHPL2112-000257";"LHP2112-0032";"13:00:00";"5";"345";"800";"8000";"6377";"2.5";"8.35";"40";"56.66";"75.2";"87.6";"0.161";"0.016"
"LHPL2112-000258";"LHP2112-0032";"13:00:00";"7";"250";"250";"2500";"4254";"9";"18.87";"125";"148.02";"58.4";"77.7";"0.198";"32.483"
"LHPL2112-000259";"LHP2112-0032";"13:00:00";"8";"325";"325";"5500";"7182";"8.5";"5.16";"75";"42.21";"66.9";"83.4";"0.221";"0.044"
"LHPL2112-000260";"LHP2112-0032";"13:00:00";"9";"400";"500";"7000";"7336";"7";"5.54";"60";"44.27";"61.2";"81.7";"0.186";"0.056"
"LHPL2112-000261";"LHP2112-0033";"08:00:00";"1";"400";"800";"8000";"10657";"2.5";"1.53";"40";"26.25";"82";"91.5";"0.32";"0.011"
"LHPL2112-000262";"LHP2112-0033";"08:00:00";"2";"400";"1200";"11500";"10009";"1.7";"1.46";"30";"23.26";"81.8";"91.4";"0.292";"0.01"
"LHPL2112-000263";"LHP2112-0033";"08:00:00";"3";"450";"1500";"12000";"11124";"1.6";"1.58";"25";"28.72";"80.3";"91";"0.317";"0.032"
"LHPL2112-000264";"LHP2112-0033";"08:00:00";"4";"500";"800";"8000";"8754";"2.5";"7.14";"40";"48";"79.3";"88.9";"0.491";"0.125"
"LHPL2112-000265";"LHP2112-0033";"08:00:00";"5";"345";"800";"8000";"6038";"2.5";"11.93";"40";"54.93";"74.9";"89.2";"0.193";"0.775"
"LHPL2112-000266";"LHP2112-0033";"08:00:00";"7";"390";"800";"8000";"6607";"2.5";"5.89";"40";"46.72";"65.5";"83";"0.583";"0.118"
"LHPL2112-000267";"LHP2112-0033";"08:00:00";"8";"380";"800";"8000";"9276";"2.5";"4.65";"40";"44.07";"71.6";"86.4";"0.512";"0.018"
"LHPL2112-000268";"LHP2112-0033";"08:00:00";"9";"400";"800";"8000";"7795";"2.5";"4.34";"40";"40.33";"64.4";"83.7";"0.223";"0.009"
"LHPL2112-000269";"LHP2112-0034";"10:00:00";"1";"400";"800";"8000";"10657";"2.5";"1.53";"40";"26.25";"80.1";"90.8";"0.197";"0.009"
"LHPL2112-000270";"LHP2112-0034";"10:00:00";"2";"400";"1200";"11500";"10009";"1.7";"1.46";"30";"23.26";"80.9";"91.5";"0.245";"0.018"
"LHPL2112-000271";"LHP2112-0034";"10:00:00";"3";"450";"1500";"12000";"11124";"1.6";"1.58";"25";"28.72";"79";"90.3";"0.198";"0.047"
"LHPL2112-000272";"LHP2112-0034";"10:00:00";"4";"500";"800";"8000";"8754";"2.5";"7.14";"40";"48";"70.2";"84.4";"2.217";"0.126"
"LHPL2112-000273";"LHP2112-0034";"10:00:00";"5";"345";"800";"8000";"6038";"2.5";"11.93";"40";"54.93";"75.1";"89.1";"0.119";"0.234"
"LHPL2112-000274";"LHP2112-0034";"10:00:00";"7";"390";"800";"8000";"6607";"2.5";"5.89";"40";"46.72";"71.4";"84.8";"0.485";"1.681"
"LHPL2112-000275";"LHP2112-0034";"10:00:00";"8";"380";"800";"8000";"9276";"2.5";"4.65";"40";"44.07";"64.7";"81.1";"0.198";"0.013"
"LHPL2112-000276";"LHP2112-0034";"10:00:00";"9";"400";"800";"8000";"7795";"2.5";"4.34";"40";"40.33";"70.5";"82.9";"0.203";"0.05"
"LHPL2112-000277";"LHP2112-0035";"08:00:00";"1";"400";"800";"8000";"11345";"2.5";"1.48";"40";"22.92";"83.8";"91.8";"0.295";"0.01"
"LHPL2112-000278";"LHP2112-0035";"08:00:00";"2";"400";"2000";"13500";"10922";"1.4";"1.51";"23";"23.29";"81.5";"90.5";"0.192";"0.027"
"LHPL2112-000279";"LHP2112-0035";"08:00:00";"3";"450";"1500";"12000";"10302";"1.6";"2.17";"25";"32.24";"82.5";"91.6";"0.287";"0.085"
"LHPL2112-000280";"LHP2112-0035";"08:00:00";"4";"500";"800";"8000";"6663";"2.5";"5.7";"40";"45.69";"70.4";"84.7";"0.931";"0.113"
"LHPL2112-000281";"LHP2112-0035";"08:00:00";"5";"345";"800";"8000";"6220";"2.5";"12.5";"40";"54.96";"77.4";"90";"0.135";"1.07"
"LHPL2112-000282";"LHP2112-0035";"08:00:00";"7";"390";"500";"7000";"6700";"7";"6.55";"60";"46.98";"62";"81.8";"0.417";"0.039"
"LHPL2112-000283";"LHP2112-0035";"08:00:00";"8";"380";"500";"7000";"7251";"7";"4.05";"60";"41.88";"64.8";"82.7";"0.463";"0.096"
"LHPL2112-000284";"LHP2112-0037";"13:00:00";"1";"400";"800";"8000";"11345";"2.5";"1.48";"40";"22.92";"85.5";"92.5";"0.213";"0.014"
"LHPL2112-000285";"LHP2112-0037";"13:00:00";"2";"400";"2000";"13500";"10922";"1.4";"1.51";"23";"23.29";"83";"91.6";"0.168";"0.02"
"LHPL2112-000286";"LHP2112-0037";"13:00:00";"3";"450";"2000";"13500";"10899";"1.4";"1.72";"23";"27.74";"80.4";"91";"0.193";"0.06"
"LHPL2112-000287";"LHP2112-0037";"13:00:00";"4";"500";"800";"8000";"6663";"2.5";"5.7";"40";"45.69";"70.3";"87.1";"0.797";"0.089"
"LHPL2112-000288";"LHP2112-0037";"13:00:00";"5";"345";"800";"8000";"6220";"2.5";"12.5";"40";"54.96";"73.2";"88";"0.199";"0.092"
"LHPL2112-000289";"LHP2112-0037";"13:00:00";"6";"325";"325";"5500";"6828";"8.5";"5.02";"75";"35.09";"62.9";"83.4";"0.108";"0.011"
"LHPL2112-000290";"LHP2112-0037";"13:00:00";"7";"390";"500";"7000";"6700";"7";"6.55";"60";"46.98";"60.2";"80.9";"0.58";"0.165"
"LHPL2112-000291";"LHP2112-0037";"13:00:00";"8";"380";"500";"7000";"7251";"7";"4.05";"60";"41.88";"65.8";"84.2";"0.506";"0.019"
"LHPL2112-000292";"LHP2112-0038";"08:00:00";"1";"400";"800";"8000";"10611";"2.5";"1.46";"40";"24.4";"83.1";"91.6";"0.281";"0.009"
"LHPL2112-000293";"LHP2112-0038";"08:00:00";"2";"400";"1200";"11500";"10750";"1.7";"1.05";"30";"21.26";"83.2";"90.8";"0.152";"0.015"
"LHPL2112-000294";"LHP2112-0038";"08:00:00";"3";"450";"800";"8000";"11035";"2.5";"1.56";"40";"26.82";"81.9";"91.5";"0.159";"0.062"
"LHPL2112-000295";"LHP2112-0038";"08:00:00";"4";"500";"800";"8000";"6700";"2.5";"5.12";"40";"46.49";"78";"88.4";"1.478";"0.082"
"LHPL2112-000296";"LHP2112-0038";"08:00:00";"5";"345";"800";"8000";"6737";"2.5";"10.02";"40";"53.98";"80.4";"90.8";"0.135";"0.141"
"LHPL2112-000297";"LHP2112-0038";"08:00:00";"7";"390";"800";"8000";"6299";"2.5";"5.83";"40";"48.97";"61.4";"80.8";"1.04";"0.03"
"LHPL2112-000298";"LHP2112-0038";"08:00:00";"8";"380";"800";"8000";"6755";"2.5";"5.28";"40";"47.95";"61.4";"81.2";"0.964";"0.047"
"LHPL2112-000299";"LHP2112-0038";"08:00:00";"9";"400";"500";"7000";"7585";"7";"4.34";"60";"40.95";"64.1";"83.4";"0.284";"0.017"
"LHPL2112-000300";"LHP2112-0038";"08:00:00";"10";"345";"500";"7000";"7618";"7";"3.52";"60";"34.57";"64.6";"82.6";"0.194";"0.017"
"LHPL2112-000301";"LHP2112-0039";"13:00:00";"1";"400";"800";"8000";"10611";"2.5";"1.46";"40";"24.4";"85.6";"94.9";"0.4";"0.009"
"LHPL2112-000302";"LHP2112-0039";"13:00:00";"2";"400";"1200";"11500";"10750";"1.7";"1.05";"30";"21.26";"80.4";"93.2";"0.271";"0.026"
"LHPL2112-000303";"LHP2112-0039";"13:00:00";"3";"450";"2000";"13500";"11091";"1.4";"1.61";"23";"25.96";"82.7";"94.4";"0.734";"0.047"
"LHPL2112-000304";"LHP2112-0039";"13:00:00";"4";"500";"800";"8000";"6700";"2.5";"5.12";"40";"46.49";"62.2";"81.4";"1.083";"0.032"
"LHPL2112-000305";"LHP2112-0039";"13:00:00";"5";"345";"800";"8000";"6737";"2.5";"10.02";"40";"53.98";"70.1";"88.6";"0.134";"0.443"
"LHPL2112-000306";"LHP2112-0039";"13:00:00";"7";"390";"800";"8000";"6299";"2.5";"5.83";"40";"48.97";"66";"81.6";"0.836";"0.195"
"LHPL2112-000307";"LHP2112-0039";"13:00:00";"8";"380";"800";"8000";"6755";"2.5";"5.28";"40";"47.95";"75.7";"84.5";"0.314";"0.024"
"LHPL2112-000308";"LHP2112-0039";"13:00:00";"9";"400";"800";"8000";"7503";"2.5";"5.07";"40";"40.88";"67.2";"83.6";"0.185";"0.025"
"LHPL2112-000309";"LHP2112-0039";"13:00:00";"10";"345";"500";"7000";"7618";"7";"3.52";"60";"34.57";"63.4";"79";"0.196";"0.006"
"LHPL2112-000310";"LHP2112-0040";"08:00:00";"1";"400";"2000";"13500";"10933";"1.4";"1.68";"23";"23.79";"83.5";"91.8";"0.323";"0.01"
"LHPL2112-000311";"LHP2112-0040";"08:00:00";"2";"400";"1200";"11500";"7811";"1.7";"2.59";"30";"26.43";"81.7";"91.2";"1.399";"0.041"
"LHPL2112-000312";"LHP2112-0040";"08:00:00";"3";"450";"2000";"13500";"9087";"1.4";"2.3";"23";"30.38";"82.3";"91.2";"0.691";"0.051"
"LHPL2112-000313";"LHP2112-0040";"08:00:00";"4";"500";"800";"8000";"6358";"2.5";"5.13";"40";"48.46";"63.7";"83.9";"1.308";"0.55"
"LHPL2112-000314";"LHP2112-0040";"08:00:00";"5";"345";"800";"8000";"7552";"2.5";"6.53";"40";"53.24";"76.9";"89.6";"0.123";"0.252"
"LHPL2112-000315";"LHP2112-0040";"08:00:00";"7";"390";"800";"8000";"6700";"2.5";"4.94";"40";"46.96";"67.5";"83.5";"1.297";"0.264"
"LHPL2112-000316";"LHP2112-0040";"08:00:00";"8";"380";"800";"8000";"6864";"2.5";"5.73";"40";"48.89";"63.1";"82.1";"0.797";"0.182"
"LHPL2112-000317";"LHP2112-0040";"08:00:00";"9";"400";"800";"8000";"7618";"2.5";"4.8";"40";"39.99";"66.3";"83.3";"0.158";"0.015"
"LHPL2112-000318";"LHP2112-0041";"13:00:00";"1";"400";"1200";"11500";"10785";"1.7";"1.71";"30";"26.2";"84.4";"92.1";"0.246";"0.016"
"LHPL2112-000319";"LHP2112-0041";"13:00:00";"2";"400";"1200";"11500";"7811";"1.7";"2.59";"30";"26.43";"83.2";"92";"0.189";"0.01"
"LHPL2112-000320";"LHP2112-0041";"13:00:00";"3";"450";"2000";"13500";"9087";"1.4";"2.3";"23";"30.38";"80.5";"90.8";"0.236";"0.076"
"LHPL2112-000321";"LHP2112-0041";"13:00:00";"4";"500";"800";"8000";"6358";"2.5";"5.13";"40";"48.46";"81.9";"89.8";"0.221";"0.027"
"LHPL2112-000322";"LHP2112-0041";"13:00:00";"5";"345";"800";"8000";"7552";"2.5";"6.53";"40";"53.24";"80.2";"90.9";"0.184";"0.385"
"LHPL2112-000323";"LHP2112-0041";"13:00:00";"7";"390";"800";"8000";"6700";"2.5";"4.94";"40";"46.96";"61.4";"80.3";"1.248";"0.114"
"LHPL2112-000324";"LHP2112-0041";"13:00:00";"8";"380";"500";"7000";"6588";"7";"5.96";"60";"39.84";"61.3";"81.8";"1.088";"0.023"
"LHPL2112-000325";"LHP2112-0042";"08:00:00";"1";"400";"800";"8000";"11378";"2.5";"1.34";"40";"25.51";"81.3";"92";"0.245";"0.007"
"LHPL2112-000326";"LHP2112-0042";"08:00:00";"2";"400";"1200";"11500";"10350";"1.7";"1.38";"30";"22.19";"80.6";"90.9";"0.251";"0.005"
"LHPL2112-000327";"LHP2112-0042";"08:00:00";"3";"450";"2000";"13500";"10071";"1.4";"1.71";"23";"32.57";"83.2";"91.7";"0.426";"0.137"
"LHPL2112-000328";"LHP2112-0042";"08:00:00";"4";"500";"800";"8000";"6918";"2.5";"5.7";"40";"48.6";"80.9";"89.3";"0.34";"0.096"
"LHPL2112-000329";"LHP2112-0042";"08:00:00";"5";"345";"800";"8000";"6773";"2.5";"7.86";"40";"57.79";"78.2";"88.5";"0.157";"1.348"
"LHPL2112-000330";"LHP2112-0042";"08:00:00";"7";"390";"800";"8000";"6455";"2.5";"5.87";"40";"48.36";"63.3";"83.3";"0.884";"0.142"
"LHPL2112-000331";"LHP2112-0042";"08:00:00";"8";"380";"800";"8000";"7060";"2.5";"4.45";"40";"42.81";"70.1";"84.7";"0.445";"0.042"
"LHPL2112-000332";"LHP2112-0042";"08:00:00";"9";"400";"800";"8000";"7420";"2.5";"5.09";"40";"40.39";"71.8";"85.9";"0.164";"0.012"
"LHPL2112-000333";"LHP2112-0043";"13:00:00";"1";"400";"800";"8000";"11378";"2.5";"1.34";"40";"25.51";"79.6";"93.6";"0.131";"0.005"
"LHPL2112-000334";"LHP2112-0043";"13:00:00";"2";"400";"1200";"11500";"10350";"1.7";"1.38";"30";"22.19";"84.9";"95.4";"0.208";"0.028"
"LHPL2112-000335";"LHP2112-0043";"13:00:00";"3";"450";"2000";"13500";"10071";"1.4";"1.71";"23";"32.57";"81";"94.1";"0.155";"0.042"
"LHPL2112-000336";"LHP2112-0043";"13:00:00";"4";"500";"800";"8000";"6918";"2.5";"5.7";"40";"48.6";"74.1";"88.3";"0.325";"0.027"
"LHPL2112-000337";"LHP2112-0043";"13:00:00";"5";"345";"800";"8000";"6773";"2.5";"7.86";"40";"57.79";"79.1";"93.6";"0.2";"1.397"
"LHPL2112-000338";"LHP2112-0043";"13:00:00";"7";"390";"800";"8000";"6455";"2.5";"5.87";"40";"48.36";"70.8";"84.7";"0.203";"0.115"
"LHPL2112-000339";"LHP2112-0043";"13:00:00";"8";"380";"800";"8000";"7060";"2.5";"4.45";"40";"42.81";"67.9";"83.9";"0.199";"0.043"
"LHPL2112-000340";"LHP2112-0043";"13:00:00";"9";"400";"500";"7000";"7747";"7";"4.95";"60";"38.33";"67.8";"85.4";"0.183";"0.014"
"LHPL2112-000341";"LHP2112-0044";"08:00:00";"1";"400";"800";"8000";"12178";"2.5";"1.09";"40";"20.01";"84.3";"93.1";"0.243";"0.005"
"LHPL2112-000342";"LHP2112-0044";"08:00:00";"2";"400";"1200";"11500";"8392";"1.7";"2.09";"30";"25.17";"81.9";"90.8";"0.886";"0.03"
"LHPL2112-000343";"LHP2112-0044";"08:00:00";"3";"450";"800";"8000";"10876";"2.5";"1.79";"40";"26.73";"83.2";"91.7";"0.202";"0.062"
"LHPL2112-000344";"LHP2112-0044";"08:00:00";"4";"500";"800";"8000";"6397";"2.5";"5.63";"40";"45.48";"75.4";"86.1";"0.573";"0.143"
"LHPL2112-000345";"LHP2112-0044";"08:00:00";"5";"345";"800";"8000";"7007";"2.5";"9.81";"40";"53.72";"81.9";"90.8";"0.159";"0.385"
"LHPL2112-000346";"LHP2112-0044";"08:00:00";"6";"325";"325";"5500";"6864";"8.5";"4.74";"75";"35.09";"72.8";"85.2";"0.13";"0.543"
"LHPL2112-000347";"LHP2112-0044";"08:00:00";"7";"390";"800";"8000";"6607";"2.5";"6.57";"40";"46.87";"67.4";"83.6";"0.407";"0.123"
